Root alarm;Severity;Alarm ID;Name;NE Type;MO Name;Alarm Source;Occurred On (NT);Cleared On (NT);Acknowledged On (ST);Location Information;Additional Information;Acknowledged By;RRU Name;Log Serial Number;BBU Name;Equipment Alarm Serial Number;eNodeB ID;User Label;Maintenance Status
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;coBTS_ONT_Ras_Errajel;coBTS_ONT_Ras_Errajel;27/08/2023 16:44;27/08/2023 16:55;27/08/2023 16:58;Link No.=0, Server IP Address=172.27.159.86;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=NULL, Cumulative Number of Times=5, eNodeBId=42881;< System operator >;-;205415013;coBTS_ONT_Ras_Errajel;132838;42881;-;NORMAL
-;Major;25626;Power Module Abnormal;GBTS;Rades_ZI_GSM_DCS;BNABSC/Rades_ZI_GSM_DCS;27/08/2023 16:45;27/08/2023 16:48;27/08/2023 16:48;Cabinet No.=1, Subrack No.=7, Slot No.=0, PSU Slot No.=2, Board Type=PMU, Specific Problem=Power Module Protection, Site No.=79, Site Type=BTS3900 GSM, Site Name=Rades_ZI_GSM_DCS;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=3d88e8ca-52fe-11e3-8000-00212856ed5a_HINCC;< System operator >;-;205415015;-;146550;-;-;NORMAL
Root alarm;Minor;21541;SCTP Link Fault;BSC6900 GSM;SCTP link No.=, Slot No.=, Subrack No.=, SCTP Link ID=74;BNABSC;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:45;Subrack No.=2, Slot No.=2, Subsystem No.=2, SCTP Link ID=74, SCTP Link No.=65535, Interface Type=Abis, BTS ID=201, BTS Name=Rades_Port_II, Alarm Cause=peer abort uncertainly;-;< System operator >;-;205415018;-;146551;-;-;NORMAL
-;Major;22215;UMTS Cell Max DL Power Mismatch;BSC6900 UMTS;Label=3G_FERNANA_U900_3, CellID=28049;BEJRNC;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:45;Subrack No.=1, Slot No.=3, Subsystem No.=6, RNC ID=9, Cell ID=28049, Cell Name=3G_FERNANA_U900_3, ID of the local cell=128049, NodeB ID=6004, NodeB Name=3G_FERNANA;-;< System operator >;-;205415020;-;1003784;-;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;coBTS_Megrine_Chaker;coBTS_Megrine_Chaker;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:48;Link No.=1, Server IP Address=172.27.159.134;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=735d49dc-52fe-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45052;< System operator >;-;205415021;coBTS_Megrine_Chaker;198928;45052;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;coBTS_CHU_Benarous;coBTS_CHU_Benarous;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:48;Link No.=0, Server IP Address=172.27.159.134;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=47f58bc6-5301-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45525;< System operator >;-;205415022;coBTS_CHU_Benarous;329408;45525;-;NORMAL
Root alarm;Major;29240;Cell Unavailable;BTS3900;eNodeB Function Name=4G_Cap_Blanc_Coh_OO, Local Cell ID=2, Cell Name=4G_Cap_Blanc_Coh_OO_e800_2, Cell FDD TDD indication=CELL_FDD;coBTS_Cap_Blanc_Coh_OO;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:45;eNodeB Function Name=4G_Cap_Blanc_Coh_OO, Local Cell ID=2, Cell FDD TDD indication=FDD, NB-IoT Cell Flag=FALSE, Cell Name=4G_Cap_Blanc_Coh_OO_e800_2, eNodeB ID=41279, Cell ID=2, Specific Problem=RF module abnormal;RAT_INFO=GUL, AFFECTED_RAT=L, DID=NULL, Cumulative Duration(s)=90, eNodeBId=41279;< System operator >;-;205415035;coBTS_Cap_Blanc_Coh_OO;73143;41279;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;SIDI_NUIGUISE;SIDI_NUIGUISE;27/08/2023 16:36;27/08/2023 16:59;27/08/2023 16:59;Link No.=0, Server IP Address=172.27.159.46;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=NULL, Cumulative Duration(s)=90, eNodeBId=43958;< System operator >;-;205415045;SIDI_NUIGUISE;7633;43958;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;SIDI_NUIGUISE;SIDI_NUIGUISE;27/08/2023 16:36;27/08/2023 16:59;27/08/2023 16:59;Link No.=1, Server IP Address=172.27.159.38;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=NULL, Cumulative Duration(s)=90, eNodeBId=43958;< System operator >;-;205415047;SIDI_NUIGUISE;7634;43958;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;coBTS_Rades_Port;coBTS_Rades_Port;27/08/2023 16:44;27/08/2023 16:45;27/08/2023 16:48;Link No.=1, Server IP Address=172.27.159.134;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=4dd93c7c-5301-11e3-8000-00212856ed5a_HINCC, Cumulative Duration(s)=90, eNodeBId=45270;< System operator >;-;205415062;coBTS_Rades_Port;74124;45270;-;NORMAL
Root alarm;Minor;26263;IP Clock Link Failure;BTS3900;RAMLA;RAMLA;27/08/2023 16:45;27/08/2023 16:51;27/08/2023 16:54;Link No.=1, Server IP Address=172.27.159.38;RAT_INFO=GUL, AFFECTED_RAT=GUL, DID=NULL, Cumulative Duration(s)=90, eNodeBId=43932;< System operator >;-;205415064;RAMLA;29699;43932;-;NORMAL
